# sourceSeal=16c2a7e window=10 draws=20 — S242/GEN-04.
# `before` counts duplicates inside the window with NO queue (what the runtime did until this packet);
# `after` counts them through drawFreshVariant. `exhausted` = pool at or below the window, which is
# GRB-04's finding and not something a queue can repair. Any `leaking` row is a mechanism bug.
generator,form,widgetType,verdict,draws,distinctWidgets,windowDuplicatesBefore,windowDuplicatesAfter,exhaustedDraws,redraws
g10-similarity,sy-similarity__numeric,numeric,clean,20,13,4,0,0,15
g10-triangle-congruence,tc-cpctc-practice__numeric,numeric,clean,20,13,5,0,0,7
g12-function-analysis,function-analysis__fna-graph-read__numeric,numeric,clean,20,13,7,0,0,20
g12-function-analysis,function-analysis__fna-one-to-one__numeric,exactNumberLab,clean,20,13,5,0,0,17
g12-polar-parametric,polar-parametric__pp-nth-roots__numeric,numeric,clean,20,13,5,0,0,16
g12-polar-parametric,polar-parametric__pp-parametric__numeric,numeric,clean,20,13,5,0,0,11
g12-polar-parametric,polar-parametric__pp-polar-form__numeric,numeric,clean,20,13,5,0,0,9
g12-polynomial-rational-analysis,polynomial-rational-analysis__pra-conjugate__numeric,exactNumberLab,clean,20,13,4,0,0,5
g12-polynomial-rational-analysis,polynomial-rational-analysis__pra-ineq-scratch__numeric,numeric,clean,20,13,6,0,0,12
g12-trig-graphs-inverses,trig-graphs-inverses__tg-tan-values__numeric,numeric,clean,20,13,7,0,0,12
g12-trig-identities-equations,trig-identities-equations__ti-double-action__numeric,numeric,clean,20,13,6,0,0,10
g13-curve-analysis,curve-analysis__ca-optimisation-applied__numeric,numeric,clean,20,13,5,0,0,8
g13-curve-analysis,curve-analysis__ca-read-f-prime__numeric,numeric,clean,20,13,6,0,0,6
g13-derivatives-in-context,derivatives-in-context__dc-choosing-relation__numeric,numeric,clean,20,13,5,0,0,8
g13-derivatives-in-context,derivatives-in-context__dc-linearisation-limits__numeric,numeric,clean,20,13,5,0,0,12
g13-differential-equations,differential-equations__de-slope-field__numeric,numeric,clean,20,13,7,0,0,14
g13-integration-accumulation,integration-accumulation__in-antiderivative__numeric,numeric,clean,20,13,7,0,0,11
g13-parametric-polar-calculus,parametric-polar-calculus__pc-second-derivative__numeric,numeric,clean,20,13,5,0,0,24
g6-data-literacy,ddVariabilityExpected,mcq,clean,20,14,5,0,0,11
g6-center-spread,ddCenterTypical,mcq,clean,20,14,5,0,0,18
prob-fraction,spinner,fractionEntry,clean,20,14,6,0,0,8
cn-sum-product,findC,numeric,clean,20,14,4,0,0,5
cn-sum-product,findB,numeric,clean,20,14,5,0,0,7
multiple-find,blinkLcm,numeric,clean,20,14,6,0,0,20
angle-equation,vertical,numeric,clean,20,14,4,0,0,5
pq-rhombus,diagonalBisect,numeric,clean,20,14,6,0,0,6
pq-trapezoid,quadTotal,numeric,clean,20,14,6,0,0,12
equiv-test,zeroTest,numeric,clean,20,14,5,0,0,9
decimal-align-addsub,mealAdd,numeric,clean,20,14,5,0,0,7
poly-read,leading,numeric,clean,20,14,5,0,0,8
power-ten-exponent,negDivide,placeValueTransformLab,clean,20,14,5,0,0,17
variable-meaning,independentPay,mcq,clean,20,14,5,0,0,6
variable-meaning,independentLaps,mcq,clean,20,14,4,0,0,9
pct-of-number,rrOrderPercent,mcq,clean,20,14,5,0,0,20
unit-frac-divide,properPieces,numeric,clean,20,14,4,0,0,8
orbit-ecc,reflector,mcq,clean,20,14,5,0,0,17
orbit-ecc,comet,mcq,clean,20,14,5,0,0,7
skip-count,nthTerm,numeric,clean,20,14,5,0,0,16
fact-family,familyDivide,numeric,clean,20,14,6,0,0,10
horizontal-shift,evalShifted,numeric,clean,20,14,4,0,0,10
prism-surface-area,missingFace,numeric,clean,20,14,6,0,0,6
prism-surface-area,tentFabric,numeric,clean,20,14,6,0,0,14
box-volume,volumeFormula,mcq,clean,20,14,6,0,0,17
addition-rule,countOr,numeric,clean,20,14,5,0,0,18
parity,rowValue,numeric,clean,20,14,5,0,0,7
nl-fraction,waterStops,numeric,clean,20,14,6,0,0,8
whole-as-fraction,writeInParts,numeric,clean,20,14,5,0,0,4
attributes,cgEquilateralRightNever,shapeHierarchyLab,clean,20,14,6,0,0,8
quadrilaterals,cgParallelogramNotGuaranteed,mcq,clean,20,14,6,0,0,11
shape-hierarchy,cgInheritanceChain,shapeHierarchyLab,clean,20,14,5,0,0,6
shape-hierarchy,cgParallelogramTrapezoid,mcq,clean,20,14,6,0,0,16
shape-hierarchy,cgParallelogramTrapezoidVerdict,shapeHierarchyLab,clean,20,14,4,0,0,7
shape-hierarchy,cgSquareRhombusAlways,shapeHierarchyLab,clean,20,14,5,0,0,10
tiling,whichTiles,mcq,clean,20,14,4,0,0,11
mult-patterns,timesTableStep,numeric,clean,20,14,6,0,0,5
pr-constant-k-g7,constantUse,proportionalReasoningLab,clean,20,14,6,0,0,8
pr-constant-k-g7,rrPartWholeWhich,mcq,clean,20,14,5,0,0,9
pr-constant-k-g7,rrSimplifyDivisor,numeric,clean,20,14,3,0,0,11
pr-constant-k-g7,rrToolChoice,mcq,clean,20,14,4,0,0,10
g7-tse-expression-build,tseDistPosB,buildExpression,clean,20,14,3,0,0,7
g7-tse-expression-build,tseDistNeg,buildExpression,clean,20,14,4,0,0,5
g8-tm-dilation-similarity,tmSimilarSideA,numeric,clean,20,14,5,0,0,7
g8-tm-dilation-similarity,tmSimilarSideB,numeric,clean,20,14,5,0,0,18
g8-bv-categorical-association,bvCatWhyRates,mcq,clean,20,14,3,0,0,6
k0-add-subtract,KoaPlusMinusOneNumeric,numeric,clean,20,14,5,0,0,9
g0-counting,countTensLine,numberLineHop,clean,20,14,5,0,0,8
g0-counting,countObjectsFlash,subitizeFlash,clean,20,14,5,0,0,6
g1-counting-120,PastHundredNumeric,numeric,clean,20,14,5,0,0,12
g1-shapes-measure,Smg1FourthsMcq,mcq,clean,20,14,5,0,0,10
g2-fluency,FlMakeTenNumeric,numeric,clean,20,14,4,0,0,13
g2-measure-money-time,MmtCoinReverseMoneyBoard,moneyBoard,clean,20,14,3,0,0,8
g3-mult-fluency,MultMixedSmallNumeric,numeric,clean,20,14,4,0,0,7
g3-div-fluency,DivBy67Numeric,numeric,clean,20,14,4,0,0,3
g4-lines-angles,laParallelLinesMcq,mcq,clean,20,14,5,0,0,7
g4-measure,mcLinePlotBuildMcq,mcq,clean,20,14,5,0,0,4
g4-place-million,pvSubtractMcq,mcq,clean,20,14,6,0,0,12
a1-exponential,exp-vs-linear__numeric,exactNumberLab,clean,20,14,4,0,0,4
a1-polynomials,exponent-zero-negative__numeric,numeric,clean,20,14,6,0,0,12
a1-functions-sequences,fn-growth-apply__numeric,numeric,clean,20,14,4,0,0,4
a1-solving-equations,literal-eq__mcq,mcq,clean,20,14,4,0,0,6
a1-systems,eliminate-scale-both__mcq,mcq,clean,20,14,3,0,0,8
a2-complex,cn-method-choice__mcq,mcq,clean,20,14,4,0,0,11
a2-transformations,ft-compose-rule__numeric,numeric,clean,20,14,6,0,0,10
a2-logarithms,lg-exp-solve__numeric,exactNumberLab,clean,20,14,5,0,0,5
a2-logarithms,lg-graph__mcq,mcq,clean,20,14,4,0,0,4
a2-polynomials,pf-anatomy__mcq,mcq,clean,20,14,5,0,0,8
a2-polynomials,pf-long-div__buildExpression,buildExpression,clean,20,14,4,0,0,7
a2-radicals,re-solve__mcq,mcq,clean,20,14,4,0,0,5
a2-rationals,rf-excluded__numeric,numeric,clean,20,14,3,0,0,6
