portfolio_id,severity,display_type,rule,target_kind,target_id,renderer,evidence
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-PP-TICKS,MAJOR,coordinate_graph,ticks,figure_renderer,pp-circle-cos,PpCircleCos,no statically visible tick construction
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-PP-GRID,MINOR,coordinate_graph,grid,figure_renderer,pp-circle-cos,PpCircleCos,display convention requires grid; none statically visible
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-PP-ORIGIN,MAJOR,coordinate_graph,origin,figure_renderer,pp-circle-cos,PpCircleCos,origin/zero not statically visible
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-TG-TICKS,MAJOR,coordinate_graph,ticks,figure_renderer,tg-read-landmarks,TgReadLandmarks,no statically visible tick construction
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-TG-GRID,MINOR,coordinate_graph,grid,figure_renderer,tg-read-landmarks,TgReadLandmarks,display convention requires grid; none statically visible
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-TG-ORIGIN,MAJOR,coordinate_graph,origin,figure_renderer,tg-read-landmarks,TgReadLandmarks,origin/zero not statically visible
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-TG-TICKS,MAJOR,coordinate_graph,ticks,figure_renderer,tg-naming-convenience,TgNamingConvenience,no statically visible tick construction
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-TG-GRID,MINOR,coordinate_graph,grid,figure_renderer,tg-naming-convenience,TgNamingConvenience,display convention requires grid; none statically visible
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-TG-TICKS,MAJOR,coordinate_graph,ticks,figure_renderer,tg-reflect-yx,TgReflectYX,no statically visible tick construction
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-TG-GRID,MINOR,coordinate_graph,grid,figure_renderer,tg-reflect-yx,TgReflectYX,display convention requires grid; none statically visible
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-TG-ORIGIN,MAJOR,coordinate_graph,origin,figure_renderer,tg-reflect-yx,TgReflectYX,origin/zero not statically visible
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-TF-TICKS,MAJOR,coordinate_graph,ticks,figure_renderer,tf-reference-angle,TfReferenceAngle,no statically visible tick construction
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-TF-GRID,MINOR,coordinate_graph,grid,figure_renderer,tf-reference-angle,TfReferenceAngle,display convention requires grid; none statically visible
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-TF-ORIGIN,MAJOR,coordinate_graph,origin,figure_renderer,tf-reference-angle,TfReferenceAngle,origin/zero not statically visible
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-TF-TICKS,MAJOR,coordinate_graph,ticks,figure_renderer,tf-three-rules,TfThreeRules,no statically visible tick construction
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-TF-GRID,MINOR,coordinate_graph,grid,figure_renderer,tf-three-rules,TfThreeRules,display convention requires grid; none statically visible
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-TF-ORIGIN,MAJOR,coordinate_graph,origin,figure_renderer,tf-three-rules,TfThreeRules,origin/zero not statically visible
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-TF-TICKS,MAJOR,coordinate_graph,ticks,figure_renderer,tf-cosine-wave,TfCosineWave,no statically visible tick construction
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-TF-GRID,MINOR,coordinate_graph,grid,figure_renderer,tf-cosine-wave,TfCosineWave,display convention requires grid; none statically visible
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-TF-ORIGIN,MAJOR,coordinate_graph,origin,figure_renderer,tf-cosine-wave,TfCosineWave,origin/zero not statically visible
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-TF-TICKS,MAJOR,coordinate_graph,ticks,figure_renderer,tf-graph-to-rule,TfGraphToRule,no statically visible tick construction
