# sourceSeal=f881875 generatedBy=scripts/audit/math-surface-inventory.mts
# kind=routed: text passed through the boundary, with the includeArithmetic setting of that call site.
# kind=bypass-suspect: a spec/step field interpolated straight into JSX whose name is also seen carrying math shorthand.
# kind=field: a spec field observed holding math shorthand in authored content or generated output.
# STATIC SCAN. A field reached via a variable, a helper or dangerouslySetInnerHTML is invisible here:
# this finds bypasses, it does not prove their absence.
kind,file,line,detail,arithmetic,example
field,,,widget.choices[].label,,"336 occurrence(s): 4√18 = 12√2 — simplified exact radical, decimalized only if the task demands it"
field,,,widget.commonEntries[].feedback,,"296 occurrence(s): That would be the hundredths place. The 4 is one place left of that, in tenths: 4/10."
field,,,widget.tokens[].label,,250 occurrence(s): ±
field,,,widget.values[].label,,222 occurrence(s): 2^4
field,,,widget.items[].label,,201 occurrence(s): 4x^2
field,,,widget.items[].feedback,,"166 occurrence(s): D = 0 + 36 = 36 > 0 — it crosses the axis twice, at ±3."
field,,,widget.commonFractions[].feedback,,145 occurrence(s): 1/4 is one piece from ONE sandwich; there are three sandwiches to draw from.
field,,,predict.prompt,,112 occurrence(s): To complete x² + 6x = −5 you'll add (6/2)² = 9 to both sides. The resulting k will be…
field,,,widget.right[].label,,109 occurrence(s): 100/200
field,,,predict.reveal,,"108 occurrence(s): Ownership is written into the inequality signs, not the ordering of the lines on the page."
field,,,widget.highFeedback,,107 occurrence(s): More than 20 draws — 5/8 × 5/7 would be right only if the first marble went back in the ba
field,,,widget.lowFeedback,,"98 occurrence(s): Not enough cells yet. Count the multiples of 3 up to 20: 3, 6, 9, 12, 15, 18 — that is six"
field,,,predict.options[].label,,93 occurrence(s): 60/360 of the DIAMETER rather than the circumference
field,,,widget.missFeedback,,"77 occurrence(s): x = 1 satisfies x ≥ 1, so use the second branch: f(1) = 2(1) = 2. Plot (1, 2)."
field,,,widget.approxConstants[].label,,70 occurrence(s): the base b (b^0 = b / b = 1)
field,,,widget.left[].label,,62 occurrence(s): 7/100
field,,,widget.choices[].sourceList[].label,,60 occurrence(s): √2
field,,,widget.candidates[].label,,40 occurrence(s): 3/4
field,,,widget.pairErrors[].feedback,,"39 occurrence(s): 18 belongs to base 6, height 6. For base 12, height 4: 1/2 × 12 × 4 = 24."
field,,,widget.commonPlacements[].feedback,,39 occurrence(s): 2/5 is one jump. Two were asked for.
field,,,widget.misorderFeedback[].feedback,,"34 occurrence(s): ln x is the slowest — it is beaten even by √x, let alone by x³."
field,,,widget.commonResults[].feedback,,"26 occurrence(s): 25 adds first (2 + 3 = 5) then squares. But exponents come BEFORE addition: 3^2 = 9 first,"
field,,,widget.choices[].source.label,,24 occurrence(s): √16
field,,,widget.panels[].body,,"20 occurrence(s): dy/dx = −x/y. At the point (3, 4) that is −3/4. Notice we never had to write y as a functi"
field,,,widget.approxConstants[].id,,16 occurrence(s): pi
field,,,widget.buckets[].label,,12 occurrence(s): x^2 terms
field,,,widget.gtFeedback,,"12 occurrence(s): Half of 3 is 1.5, and 1 is LESS than 1.5 — 1/3 falls short of 1/2, not past it."
field,,,widget.rowFeedback,,12 occurrence(s): Rows carry the first factor: 2 rows with 1 shaded makes the 1/2.
field,,,widget.colFeedback,,12 occurrence(s): Rows are set — columns carry the 1/3: 3 columns with 1 shaded.
field,,,widget.approxFormula.left.id,,12 occurrence(s): pi
field,,,widget.eqFeedback,,"10 occurrence(s): Exactly half of 3 would need a numerator of 1.5, which isn't a whole number here. 1/3 is l"
field,,,widget.fractionErrors[].feedback,,"10 occurrence(s): That would only be true if the decimal STOPPED at 0.7 — but it repeats forever, so it's 7/"
field,,,widget.pointErrors[].feedback,,"6 occurrence(s): That is the FIRST branch's value, 1 + 3 = 4 — but x < 1 excludes x = 1. The branch marked "
field,,,widget.tokens[],,6 occurrence(s): ^
field,,,widget.orderFeedback,,5 occurrence(s): Keep the five handles in order: min ≤ Q1 ≤ median ≤ Q3 ≤ max.
field,,,widget.ltFeedback,,"5 occurrence(s): Barely still counts. 11 doubled is 22, which beats 20 — so 11/20 IS more than 1/2, just by"
field,,,widget.hotspots[].label,,4 occurrence(s): 4/5
field,,,widget.hotspots[].icon,,4 occurrence(s): 4/5
field,,,widget.hotspots[].feedback,,3 occurrence(s): A single fifth is the smallest of the bunch — two pieces below the 3/5 bar.
field,,,widget.commonLandings[].feedback,,3 occurrence(s): Three quarter-scoops fills only 3/4 of one cup — not 3 cups. Keep hopping to the 3 on the 
field,,,widget.commonPairs[].feedback,,3 occurrence(s): Run 6 and rise 3 is slope 1/2 — the legs are swapped. Slope is the VERTICAL change over th
field,,,widget.choices[].claim,,3 occurrence(s): fraction:8/3
field,,,predict.options[].id,,2 occurrence(s): pi
field,,,widget.wrongVerdictFeedback,,2 occurrence(s): 0/0 means f(2) is undefined; it does not mean the limit fails. Watch the readouts: both si
field,,,widget.phantomPickedFeedback,,2 occurrence(s): −2 satisfies only the SQUARED pair. Probe it on the original: the radical reads √4 = +2 wh
field,,,widget.signRegionFeedback,,"2 occurrence(s): The line is negative on this stretch, and √(x + 6) never is — nothing here can solve the o"
field,,,widget.approxFormula.right.right.left.id,,2 occurrence(s): pi
field,,,widget.partialFeedback,,"2 occurrence(s): Count only the stack above 1/2: every X in it, and no X from another stack."
field,,,widget.positionFeedback,,"1 occurrence(s): Bring the point to x = 3 — the reveal's point (3, 4) — and check the slope readout against"
field,,,widget.explorationFeedback,,1 occurrence(s): Stop at a few radii and read dV/dt each time — compare how it climbs against the disc's 2π
field,,,predict.outcomeId,,1 occurrence(s): pi
field,,,widget.moreZoomFeedback,,"1 occurrence(s): Magnify further. 0/0 is not an answer, it is a signal that the point itself is telling you"
field,,,widget.approxFormula.right.left.id,,1 occurrence(s): pi
field,,,widget.approxFormula.left.right.left.id,,1 occurrence(s): pi
field,,,widget.operations[].label,,1 occurrence(s): check: 20/4 − 3 = 2 ✓
field,,,widget.judgeOptions[].feedback,,1 occurrence(s): That reads the headline number and ignores the band. A 3-point gap with a ±3 margin on eac
field,,,widget.authoredStages[].body,,"1 occurrence(s): Subtract: 10x − x = 3.333… − 0.333… = 3, so 9x = 3, and x = 3/9 = 1/3."
field,,,widget.ghostChoices[].feedback,,1 occurrence(s): Backwards: this is −cos 2θ — the point mirrors across the vertical axis and detaches the m
